product_id,product_name,category,unit_price
151,Gorra Básico,Ropa,239.32
152,Rompecabezas Moderno 1,Juguetes,106.12
153,Robot Slim 1,Juguetes,30.29
154,Mouse Vintage 1,Electrónica,250.95
155,Pantalón Slim,Ropa,778.95
156,Colchoneta Moderno,Deportes,402.25
157,Laptop Max,Electrónica,555.97
158,Bufanda Moderno 2,Ropa,181.73
159,Silla Premium,Hogar,226.29
160,Silla Premium 1,Hogar,126.08
161,Colchoneta Básico,Deportes,272.87
162,Gorra Ultra,Ropa,140.75
163,Mouse Pro,Electrónica,648.81
164,Lámpara Moderno,Hogar,415.21
165,Mesa Moderno 1,Hogar,536.44
166,Lámpara Pro 1,Hogar,240.87
167,Tablet Básico 1,Electrónica,561.59
168,Pesas Pro,Deportes,369.63
169,Camiseta Slim 2,Ropa,140.81
170,Juego de Mesa Básico,Juguetes,195.47
171,Smartphone Básico,Electrónica,367.09
172,Raqueta Moderno 1,Deportes,781.14
173,Smartphone Vintage,Electrónica,646.23
174,Muñeca Básico,Juguetes,499.15
175,Chaqueta Max 1,Ropa,649.6
176,Gorra Max 1,Ropa,448.18
177,Organizador Pro,Hogar,43.04
178,Mesa Ultra,Hogar,106.89
179,Toalla Vintage,Hogar,494.54
180,Gorra Moderno 1,Ropa,416.06
181,Silla Vintage 1,Hogar,427.74
182,Sábana Moderno,Hogar,363.12
183,Zapatillas Pro 2,Ropa,311.28
184,Cuadro Vintage 1,Hogar,516.27
185,Raqueta Max 1,Deportes,279.37
186,Pantalón Premium,Ropa,481.92
187,Camiseta Moderno 1,Ropa,593.62
188,Rompecabezas Básico 2,Juguetes,235.04
189,Auriculares Moderno 1,Electrónica,319.11
190,Robot Max,Juguetes,331.14
191,Balón Max,Deportes,250.87
192,Rompecabezas Premium,Juguetes,143.99
193,Auto Pro 2,Juguetes,377.06
194,Lámpara Vintage 1,Hogar,751.87
195,Chaqueta Moderno,Ropa,172.35
196,Laptop Ultra,Electrónica,236.63
197,Pelota Básico 1,Juguetes,513.25
198,Rompecabezas Moderno 2,Juguetes,509.31
199,Zapatillas Ultra 2,Ropa,109.3
200,Lámpara Premium,Hogar,188.59
