sale_id,employee_id,customer_id,product_id,sales_channel,quantity,discount_percentage,payment_method,subtotal,discount_amount,total,year,month,day,hour
20,2,131,104,Tienda física,15,0.42,Paypal,4868.55,20.45,4848.1,2023,8,20,7
21,4,150,38,Tienda física,12,0.28,Paypal,667.44,1.87,665.57,2024,11,15,5
22,22,309,134,Distribuidor,7,6.03,Efectivo,506.66,30.55,476.11,2023,8,29,8
23,91,258,200,Distribuidor,17,21.97,Tarjeta,3206.03,704.36,2501.67,2024,5,22,15
24,57,344,23,Online,11,14.63,Paypal,3319.14,485.59,2833.55,2024,10,6,8
25,73,492,47,Online,14,20.83,Transferencia,8049.44,1676.7,6372.74,2025,9,27,12
26,45,414,90,Distribuidor,11,9.52,Paypal,2216.28,210.99,2005.29,2024,2,21,2
27,50,294,46,Distribuidor,1,13.8,Transferencia,78.71,10.86,67.85,2024,8,3,5
28,40,386,107,Distribuidor,5,14.52,Efectivo,292.75,42.51,250.24,2024,1,11,18
29,40,192,140,Distribuidor,13,5.74,Transferencia,7366.71,422.85,6943.86,2024,7,4,15
30,65,444,141,Online,7,0.16,Transferencia,5319.3,8.51,5310.79,2024,5,24,12
31,97,277,104,Online,5,7.63,Transferencia,1622.85,123.82,1499.03,2025,11,27,14
32,57,161,190,Tienda física,9,2.15,Efectivo,2980.26,64.08,2916.18,2025,3,7,12
33,43,460,111,Distribuidor,8,5.3,Paypal,4090.56,216.8,3873.76,2024,2,13,2
34,65,314,104,Distribuidor,11,23.48,Transferencia,3570.27,838.3,2731.97,2025,7,7,19
35,12,22,60,Online,6,2.11,Paypal,2117.34,44.68,2072.66,2025,10,18,9
36,22,253,171,Tienda física,14,3.89,Transferencia,5139.26,199.92,4939.34,2023,12,13,4
37,95,236,100,Distribuidor,9,11.1,Paypal,331.2,36.76,294.44,2024,2,10,17
38,26,345,68,Online,1,23.25,Transferencia,304.49,70.79,233.7,2023,7,19,16
39,64,49,133,Distribuidor,8,16.43,Tarjeta,1534.72,252.15,1282.57,2025,8,12,9
40,1,475,120,Online,11,8.98,Efectivo,1751.64,157.3,1594.34,2024,5,7,1
41,68,59,37,Distribuidor,16,8.75,Tarjeta,9057.28,792.51,8264.77,2025,4,9,11
42,75,170,72,Tienda física,6,7.13,Efectivo,4058.94,289.4,3769.54,2024,4,8,14
43,58,476,127,Online,19,16.82,Efectivo,11857.71,1994.47,9863.24,2025,7,4,2
44,97,188,106,Distribuidor,9,11.84,Efectivo,2040.12,241.55,1798.57,2024,4,20,22
45,12,464,92,Online,6,17.41,Paypal,2426.88,422.52,2004.36,2023,8,25,2
46,94,271,31,Tienda física,9,14.73,Tarjeta,2411.64,355.23,2056.41,2023,1,19,12
47,26,190,122,Distribuidor,11,13.59,Transferencia,2118.27,287.87,1830.4,2024,3,15,13
48,33,446,137,Online,8,16.76,Transferencia,3096.48,518.97,2577.51,2023,6,7,8
49,56,175,51,Online,1,11.62,Paypal,654.43,76.04,578.39,2023,1,30,15
50,83,446,29,Tienda física,8,17.11,Tarjeta,6151.04,1052.44,5098.6,2023,12,11,8
51,49,51,40,Tienda física,12,8.75,Efectivo,6906.72,604.34,6302.38,2025,2,5,6
52,78,364,41,Tienda física,3,24.32,Tarjeta,388.56,94.5,294.06,2023,12,19,18
53,91,55,11,Tienda física,7,21.05,Paypal,4943.47,1040.6,3902.87,2023,1,22,0
54,4,244,151,Tienda física,17,2.81,Efectivo,4068.44,114.32,3954.12,2024,1,1,21
55,8,320,1,Distribuidor,1,0.97,Paypal,258.44,2.51,255.93,2025,8,24,15
56,91,131,46,Tienda física,5,5.15,Tarjeta,393.55,20.27,373.28,2023,1,3,4
57,100,485,101,Tienda física,3,10.19,Transferencia,2128.8,216.92,1911.88,2024,6,4,5
58,44,307,149,Tienda física,7,22.19,Paypal,4457.39,989.09,3468.3,2025,3,15,8
59,78,135,90,Online,17,22.18,Paypal,3425.16,759.7,2665.46,2023,4,28,3
60,40,21,110,Online,7,23.77,Efectivo,3152.66,749.39,2403.27,2024,9,3,16
61,97,329,164,Tienda física,8,11.81,Transferencia,3321.68,392.29,2929.39,2025,2,20,17
62,19,167,182,Distribuidor,1,22.93,Paypal,363.12,83.26,279.86,2023,9,19,21
63,83,274,57,Tienda física,10,13.66,Tarjeta,3536.1,483.03,3053.07,2023,9,24,3
64,53,388,1,Online,15,17.45,Efectivo,3876.6,676.47,3200.13,2024,7,27,19
65,43,89,63,Distribuidor,7,7.08,Transferencia,4382.49,310.28,4072.21,2024,5,3,5
66,56,316,182,Online,8,0.89,Transferencia,2904.96,25.85,2879.11,2024,12,17,8
67,38,14,55,Tienda física,5,7.35,Paypal,2447.2,179.87,2267.33,2025,5,15,9
68,35,242,115,Distribuidor,2,1.58,Transferencia,1277.66,20.19,1257.47,2024,11,4,0
69,99,265,168,Distribuidor,12,15.39,Tarjeta,4435.56,682.63,3752.93,2025,5,25,7
70,68,346,143,Tienda física,17,19.31,Transferencia,3021.24,583.4,2437.84,2024,4,20,15
71,26,53,149,Tienda física,11,21.69,Paypal,7004.47,1519.27,5485.2,2025,9,25,3
72,94,386,175,Tienda física,16,15.61,Efectivo,10393.6,1622.44,8771.16,2025,5,13,6
73,49,340,53,Tienda física,12,8.71,Paypal,2378.4,207.16,2171.24,2025,8,22,11
74,95,92,137,Online,16,20.5,Efectivo,6192.96,1269.56,4923.4,2024,2,4,14
75,19,367,180,Tienda física,1,24.45,Efectivo,416.06,101.73,314.33,2024,8,22,2
76,1,444,57,Online,19,15.55,Tarjeta,6718.59,1044.74,5673.85,2023,9,7,13
77,45,455,117,Distribuidor,7,3.16,Tarjeta,4513.53,142.63,4370.9,2025,10,11,15
78,94,428,154,Online,15,13.24,Paypal,3764.25,498.39,3265.86,2025,10,18,2
79,57,264,169,Online,5,18.72,Tarjeta,704.05,131.8,572.25,2025,1,1,21
80,100,431,35,Online,16,18.28,Paypal,3606.4,659.25,2947.15,2024,11,21,3
81,53,35,63,Distribuidor,7,18.88,Transferencia,4382.49,827.41,3555.08,2025,9,28,21
82,86,206,25,Tienda física,14,10.07,Efectivo,4644.5,467.7,4176.8,2025,5,17,19
83,2,81,90,Distribuidor,18,11.11,Paypal,3626.64,402.92,3223.72,2023,5,28,14
84,57,420,75,Tienda física,15,21.81,Tarjeta,7075.35,1543.13,5532.22,2023,3,7,7
85,9,50,38,Tienda física,4,6.84,Tarjeta,222.48,15.22,207.26,2024,10,5,12
86,26,360,130,Online,6,7.07,Paypal,328.92,23.25,305.67,2025,6,27,4
87,65,388,135,Tienda física,5,21.94,Transferencia,263.85,57.89,205.96,2024,10,10,16
88,2,2,162,Online,7,11.23,Efectivo,985.25,110.64,874.61,2023,10,7,22
89,8,390,91,Distribuidor,11,1.98,Tarjeta,2022.79,40.05,1982.74,2023,3,3,21
90,88,54,17,Tienda física,15,23.93,Transferencia,291.9,69.85,222.05,2025,2,1,23
91,38,106,128,Distribuidor,3,15.67,Transferencia,946.89,148.38,798.51,2023,11,14,9
92,49,260,171,Online,5,17.62,Efectivo,1835.45,323.41,1512.04,2025,12,20,16
93,88,310,187,Online,7,11.48,Paypal,4155.34,477.03,3678.31,2023,11,8,19
94,27,477,108,Tienda física,11,4.95,Paypal,5129.85,253.93,4875.92,2023,10,20,1
95,5,191,179,Distribuidor,1,21.27,Efectivo,494.54,105.19,389.35,2025,9,10,14
96,48,402,182,Distribuidor,16,7.43,Paypal,5809.92,431.68,5378.24,2025,1,15,22
97,56,218,152,Tienda física,6,24.46,Transferencia,636.72,155.74,480.98,2023,6,11,16
98,83,44,25,Online,10,15.9,Efectivo,3317.5,527.48,2790.02,2025,6,23,9
99,70,162,199,Distribuidor,2,11.42,Paypal,218.6,24.96,193.64,2024,4,12,19
100,99,202,180,Online,12,23.9,Efectivo,4992.72,1193.26,3799.46,2024,3,13,3
101,35,446,198,Distribuidor,5,0.01,Transferencia,2546.55,0.25,2546.3,2023,2,5,22
102,35,484,88,Distribuidor,16,16.01,Paypal,6208.0,993.9,5214.1,2023,7,10,7
103,50,270,161,Online,1,6.81,Paypal,272.87,18.58,254.29,2025,1,15,18
104,26,351,177,Online,8,6.23,Transferencia,344.32,21.45,322.87,2025,1,31,8
105,90,304,29,Distribuidor,7,16.73,Paypal,5382.16,900.44,4481.72,2023,7,4,12
106,88,271,63,Tienda física,7,23.24,Efectivo,4382.49,1018.49,3364.0,2023,9,22,18
107,56,456,150,Online,10,3.97,Transferencia,7755.6,307.9,7447.7,2024,12,17,22
108,88,462,154,Online,19,17.76,Paypal,4768.05,846.81,3921.24,2023,5,1,5
109,35,215,156,Online,3,13.76,Efectivo,1206.75,166.05,1040.7,2025,7,26,23
110,94,252,114,Distribuidor,3,12.29,Tarjeta,1447.14,177.85,1269.29,2025,11,15,7
111,10,190,49,Distribuidor,13,7.55,Efectivo,7081.49,534.65,6546.84,2023,10,29,19
112,9,296,199,Tienda física,7,16.92,Efectivo,765.1,129.45,635.65,2023,3,15,3
113,65,213,81,Tienda física,8,17.05,Paypal,3205.44,546.53,2658.91,2023,3,3,14
114,89,208,84,Online,1,5.68,Transferencia,570.23,32.39,537.84,2025,7,13,6
115,98,237,105,Distribuidor,4,24.64,Tarjeta,1747.4,430.56,1316.84,2023,4,21,3
116,83,338,177,Online,14,1.04,Efectivo,602.56,6.27,596.29,2024,7,17,3
117,90,367,148,Tienda física,3,4.06,Transferencia,1689.81,68.61,1621.2,2024,5,15,11
118,35,53,118,Distribuidor,5,10.65,Efectivo,921.55,98.15,823.4,2023,12,1,8
119,90,280,86,Online,7,24.82,Tarjeta,3936.73,977.1,2959.63,2023,6,4,22
120,40,410,63,Tienda física,17,12.01,Paypal,10643.19,1278.25,9364.94,2025,9,5,15
121,35,217,189,Online,6,14.25,Efectivo,1914.66,272.84,1641.82,2025,12,27,18
122,64,252,104,Tienda física,5,3.78,Transferencia,1622.85,61.34,1561.51,2024,1,22,14
123,22,188,49,Tienda física,7,14.38,Efectivo,3813.11,548.33,3264.78,2025,12,5,4
124,46,380,71,Tienda física,6,12.24,Tarjeta,3526.44,431.64,3094.8,2023,12,26,9
125,34,493,1,Distribuidor,3,14.62,Efectivo,775.32,113.35,661.97,2023,6,29,18
126,81,41,141,Online,13,3.7,Efectivo,9878.7,365.51,9513.19,2025,5,28,8
127,4,157,179,Tienda física,7,10.16,Efectivo,3461.78,351.72,3110.06,2025,7,4,0
128,94,15,123,Online,16,0.23,Efectivo,2382.72,5.48,2377.24,2025,5,12,19
129,14,301,184,Tienda física,11,10.4,Paypal,5678.97,590.61,5088.36,2025,7,19,1
130,22,65,62,Online,12,13.22,Tarjeta,3155.16,417.11,2738.05,2025,7,11,11
131,1,345,32,Online,5,21.76,Tarjeta,3675.5,799.79,2875.71,2024,3,23,5
132,20,327,158,Distribuidor,6,13.65,Efectivo,1090.38,148.84,941.54,2024,8,4,15
133,25,9,29,Distribuidor,5,8.03,Transferencia,3844.4,308.71,3535.69,2023,3,23,22
134,90,344,49,Tienda física,15,3.22,Transferencia,8170.95,263.1,7907.85,2023,5,23,16
135,1,129,173,Distribuidor,14,7.79,Transferencia,9047.22,704.78,8342.44,2024,10,15,18
136,20,492,30,Distribuidor,14,16.74,Efectivo,7077.28,1184.74,5892.54,2024,2,10,15
137,46,136,144,Distribuidor,19,16.0,Transferencia,7919.2,1267.07,6652.13,2024,1,16,19
138,88,472,168,Distribuidor,6,13.95,Efectivo,2217.78,309.38,1908.4,2023,9,15,7
139,16,63,19,Tienda física,4,21.73,Efectivo,1614.16,350.76,1263.4,2023,11,19,7
140,57,139,18,Tienda física,5,9.58,Efectivo,1928.95,184.79,1744.16,2023,11,30,17
141,13,499,1,Distribuidor,10,0.18,Transferencia,2584.4,4.65,2579.75,2024,7,24,17
142,81,81,78,Tienda física,15,16.22,Paypal,7447.95,1208.06,6239.89,2024,4,28,17
143,90,392,115,Distribuidor,12,19.38,Transferencia,7665.96,1485.66,6180.3,2023,5,20,19
144,45,163,175,Distribuidor,16,23.72,Tarjeta,10393.6,2465.36,7928.24,2024,6,17,2
145,73,419,194,Distribuidor,3,21.63,Tarjeta,2255.61,487.89,1767.72,2023,1,14,3
146,50,289,113,Tienda física,8,11.72,Efectivo,1582.16,185.43,1396.73,2025,3,20,2
147,33,379,114,Online,3,9.17,Efectivo,1447.14,132.7,1314.44,2023,12,6,10
148,25,261,166,Online,9,1.45,Efectivo,2167.83,31.43,2136.4,2024,1,10,21
149,3,490,179,Tienda física,12,11.19,Efectivo,5934.48,664.07,5270.41,2023,12,6,7
150,79,231,63,Tienda física,19,18.7,Transferencia,11895.33,2224.43,9670.9,2024,12,30,15
151,46,41,132,Distribuidor,9,4.86,Transferencia,3095.73,150.45,2945.28,2024,4,26,21
152,68,28,129,Tienda física,15,10.04,Transferencia,4908.9,492.85,4416.05,2023,12,25,20
153,76,135,8,Distribuidor,6,4.06,Paypal,3422.52,138.95,3283.57,2025,6,8,19
154,95,201,157,Online,16,18.65,Transferencia,8895.52,1659.01,7236.51,2023,2,26,6
155,75,328,55,Distribuidor,17,0.45,Efectivo,8320.48,37.44,8283.04,2023,6,5,9
156,94,268,103,Tienda física,6,2.83,Transferencia,4107.36,116.24,3991.12,2025,8,10,2
157,92,418,131,Tienda física,12,24.18,Efectivo,7772.28,1879.34,5892.94,2023,1,18,2
158,64,33,32,Tienda física,17,12.69,Efectivo,12496.7,1585.83,10910.87,2023,1,1,10
159,94,48,10,Online,13,2.76,Efectivo,4879.42,134.67,4744.75,2025,7,19,20
160,56,407,110,Distribuidor,9,11.23,Tarjeta,4053.42,455.2,3598.22,2023,10,17,18
161,89,62,162,Distribuidor,18,22.84,Tarjeta,2533.5,578.65,1954.85,2023,2,20,9
162,51,216,124,Tienda física,14,13.52,Tarjeta,3868.34,523.0,3345.34,2025,11,15,11
163,56,293,87,Online,8,4.25,Paypal,4044.32,171.88,3872.44,2025,6,20,11
164,75,99,55,Online,12,4.29,Efectivo,5873.28,251.96,5621.32,2023,8,20,21
165,16,172,32,Tienda física,2,5.22,Efectivo,1470.2,76.74,1393.46,2023,8,3,13
166,75,360,178,Distribuidor,12,6.18,Efectivo,1282.68,79.27,1203.41,2024,2,10,17
167,26,214,135,Tienda física,19,15.19,Paypal,1002.63,152.3,850.33,2024,5,15,6
168,65,475,93,Tienda física,19,18.62,Efectivo,2032.62,378.47,1654.15,2023,8,23,4
169,64,35,8,Tienda física,17,10.94,Tarjeta,9697.14,1060.87,8636.27,2024,1,26,17
170,83,449,65,Online,14,0.34,Transferencia,2906.12,9.88,2896.24,2024,2,27,21
171,70,227,57,Distribuidor,11,22.76,Paypal,3889.71,885.3,3004.41,2025,4,3,23
172,57,101,67,Distribuidor,5,10.38,Efectivo,80.85,8.39,72.46,2025,12,12,13
173,76,431,187,Online,3,0.28,Efectivo,1780.86,4.99,1775.87,2024,12,29,8
174,33,462,72,Online,3,11.6,Efectivo,2029.47,235.42,1794.05,2025,8,5,15
175,54,131,54,Tienda física,8,1.97,Tarjeta,3932.16,77.46,3854.7,2023,9,8,7
176,5,257,67,Distribuidor,2,4.46,Efectivo,32.34,1.44,30.9,2023,2,2,9
177,33,5,51,Distribuidor,12,3.18,Efectivo,7853.16,249.73,7603.43,2023,5,14,13
178,62,218,97,Distribuidor,12,18.49,Transferencia,359.16,66.41,292.75,2023,6,29,4
179,100,255,92,Tienda física,7,22.22,Transferencia,2831.36,629.13,2202.23,2024,5,10,8
180,5,398,8,Distribuidor,19,17.71,Efectivo,10837.98,1919.41,8918.57,2023,2,11,16
181,99,359,162,Online,7,24.67,Efectivo,985.25,243.06,742.19,2023,4,27,8
182,3,283,35,Distribuidor,5,22.84,Paypal,1127.0,257.41,869.59,2023,12,29,4
183,81,393,96,Online,16,3.02,Efectivo,5841.44,176.41,5665.03,2024,6,27,0
184,10,207,88,Tienda física,15,4.13,Tarjeta,5820.0,240.37,5579.63,2023,8,16,2
185,56,15,78,Tienda física,13,7.88,Transferencia,6454.89,508.65,5946.24,2023,10,27,22
186,45,346,32,Tienda física,9,16.52,Tarjeta,6615.9,1092.95,5522.95,2023,7,4,10
187,35,42,120,Online,18,23.88,Transferencia,2866.32,684.48,2181.84,2024,9,19,17
188,14,380,46,Online,11,6.97,Tarjeta,865.81,60.35,805.46,2025,7,21,18
189,76,461,144,Tienda física,8,7.13,Paypal,3334.4,237.74,3096.66,2025,8,13,11
190,46,179,196,Online,17,23.7,Efectivo,4022.71,953.38,3069.33,2023,6,4,15
191,88,63,165,Online,7,1.51,Paypal,3755.08,56.7,3698.38,2023,5,6,16
192,94,352,182,Distribuidor,4,3.02,Paypal,1452.48,43.86,1408.62,2024,3,28,14
193,75,231,142,Online,1,20.47,Paypal,143.05,29.28,113.77,2024,3,24,20
194,97,241,55,Online,19,12.0,Paypal,9299.36,1115.92,8183.44,2023,11,14,7
195,3,52,176,Distribuidor,13,11.34,Paypal,5826.34,660.71,5165.63,2023,2,26,4
196,40,96,7,Distribuidor,12,14.93,Transferencia,2298.84,343.22,1955.62,2023,4,27,12
197,83,388,74,Online,2,1.07,Efectivo,723.56,7.74,715.82,2024,12,17,5
198,53,222,7,Tienda física,12,22.52,Efectivo,2298.84,517.7,1781.14,2025,3,11,21
199,56,485,161,Tienda física,19,19.4,Efectivo,5184.53,1005.8,4178.73,2025,10,20,8
200,25,407,151,Online,18,5.72,Efectivo,4307.76,246.4,4061.36,2024,5,9,16
201,68,231,85,Online,14,23.7,Efectivo,2216.76,525.37,1691.39,2023,9,18,19
202,87,237,147,Online,9,2.85,Transferencia,2405.07,68.54,2336.53,2023,11,24,22
203,40,143,112,Online,8,13.0,Paypal,676.24,87.91,588.33,2023,6,23,9
204,13,171,125,Tienda física,15,19.32,Efectivo,7522.2,1453.29,6068.91,2023,10,29,8
205,11,29,147,Distribuidor,8,2.31,Paypal,2137.84,49.38,2088.46,2024,5,26,22
206,98,36,36,Tienda física,14,19.66,Tarjeta,10586.66,2081.34,8505.32,2023,5,29,4
207,48,13,29,Distribuidor,1,0.01,Tarjeta,768.88,0.08,768.8,2023,12,1,20
208,4,160,188,Online,19,18.19,Tarjeta,4465.76,812.32,3653.44,2023,2,27,6
209,66,327,82,Online,17,21.8,Efectivo,2600.32,566.87,2033.45,2025,9,7,9
210,21,187,2,Online,16,3.04,Transferencia,6256.32,190.19,6066.13,2024,11,12,19
211,51,243,129,Distribuidor,13,2.09,Paypal,4254.38,88.92,4165.46,2024,1,23,14
212,12,86,47,Tienda física,8,14.09,Paypal,4599.68,648.09,3951.59,2025,9,26,21
213,16,284,197,Online,9,4.28,Tarjeta,4619.25,197.7,4421.55,2023,5,6,14
214,99,66,148,Distribuidor,3,14.38,Efectivo,1689.81,242.99,1446.82,2023,3,14,10
215,56,170,11,Tienda física,14,12.34,Efectivo,9886.94,1220.05,8666.89,2024,2,21,11
216,79,45,130,Online,12,19.51,Efectivo,657.84,128.34,529.5,2025,2,22,14
217,99,62,195,Tienda física,16,0.09,Efectivo,2757.6,2.48,2755.12,2023,4,12,11
218,54,441,119,Distribuidor,8,6.73,Transferencia,1175.2,79.09,1096.11,2023,3,22,15
219,65,134,140,Distribuidor,2,6.44,Paypal,1133.34,72.99,1060.35,2023,7,26,22
220,89,284,20,Tienda física,13,21.66,Tarjeta,6541.08,1416.8,5124.28,2023,9,5,1
221,45,28,5,Distribuidor,18,15.28,Paypal,8118.72,1240.54,6878.18,2023,6,13,10
222,8,108,37,Distribuidor,13,11.5,Tarjeta,7359.04,846.29,6512.75,2024,9,8,9
223,84,44,166,Online,3,17.59,Transferencia,722.61,127.11,595.5,2023,8,6,7
224,62,340,137,Tienda física,5,24.54,Tarjeta,1935.3,474.92,1460.38,2023,9,21,8
225,45,286,53,Online,15,13.9,Efectivo,2973.0,413.25,2559.75,2023,5,30,20
226,90,446,172,Online,9,10.59,Paypal,7030.26,744.5,6285.76,2023,1,26,20
227,76,331,99,Tienda física,18,17.99,Paypal,7685.46,1382.61,6302.85,2023,12,26,17
228,43,128,86,Tienda física,18,15.74,Transferencia,10123.02,1593.36,8529.66,2025,7,1,22
229,98,348,108,Tienda física,5,13.85,Efectivo,2331.75,322.95,2008.8,2025,3,10,6
230,45,473,24,Online,14,13.71,Paypal,6821.08,935.17,5885.91,2023,12,18,0
231,21,231,81,Tienda física,19,12.15,Transferencia,7612.92,924.97,6687.95,2025,10,26,0
232,2,190,158,Distribuidor,2,5.13,Efectivo,363.46,18.65,344.81,2024,8,24,14
233,76,225,120,Online,14,2.64,Tarjeta,2229.36,58.86,2170.5,2025,11,19,8
234,46,385,59,Tienda física,13,24.17,Efectivo,1785.03,431.44,1353.59,2023,2,5,9
235,14,377,128,Online,8,0.41,Efectivo,2525.04,10.35,2514.69,2023,2,26,19
236,89,283,114,Distribuidor,8,12.06,Tarjeta,3859.04,465.4,3393.64,2024,3,8,15
237,21,446,115,Online,9,18.62,Paypal,5749.47,1070.55,4678.92,2024,1,29,12
238,90,121,14,Tienda física,3,22.32,Efectivo,2000.7,446.56,1554.14,2023,12,26,21
239,84,116,9,Tienda física,19,4.18,Transferencia,7598.29,317.61,7280.68,2024,1,13,15
240,16,461,40,Distribuidor,3,0.46,Tarjeta,1726.68,7.94,1718.74,2023,2,10,18
241,43,233,194,Tienda física,10,6.77,Transferencia,7518.7,509.02,7009.68,2023,5,10,14
242,27,259,25,Distribuidor,1,9.71,Efectivo,331.75,32.21,299.54,2024,1,17,12
243,35,359,103,Distribuidor,9,21.33,Efectivo,6161.04,1314.15,4846.89,2023,9,19,4
244,42,198,22,Tienda física,5,19.05,Tarjeta,1167.35,222.38,944.97,2025,8,5,20
245,34,456,4,Online,14,15.68,Efectivo,8522.08,1336.26,7185.82,2023,2,13,21
246,87,411,154,Online,18,7.48,Efectivo,4517.1,337.88,4179.22,2023,3,26,20
247,49,137,186,Tienda física,10,14.65,Transferencia,4819.2,706.01,4113.19,2023,10,18,18
248,83,318,29,Online,9,10.49,Transferencia,6919.92,725.9,6194.02,2024,3,31,16
249,76,165,109,Distribuidor,10,24.21,Paypal,1169.9,283.23,886.67,2023,9,13,17
250,20,225,98,Distribuidor,12,13.79,Efectivo,8746.44,1206.13,7540.31,2025,9,21,2
251,2,307,37,Tienda física,1,23.55,Efectivo,566.08,133.31,432.77,2025,2,23,7
252,65,234,75,Online,19,8.66,Efectivo,8962.11,776.12,8185.99,2023,10,21,12
253,86,172,70,Distribuidor,3,0.9,Tarjeta,182.13,1.64,180.49,2025,12,17,18
254,91,152,146,Tienda física,1,8.27,Transferencia,456.73,37.77,418.96,2023,6,9,3
255,75,463,128,Tienda física,1,9.44,Tarjeta,315.63,29.8,285.83,2023,6,29,19
256,59,315,85,Distribuidor,9,2.45,Efectivo,1425.06,34.91,1390.15,2023,5,28,5
257,68,374,42,Tienda física,13,1.0,Transferencia,1556.23,15.56,1540.67,2023,2,7,16
258,68,160,100,Online,11,12.3,Tarjeta,404.8,49.79,355.01,2024,9,21,11
259,57,96,41,Tienda física,5,23.34,Transferencia,647.6,151.15,496.45,2025,2,7,13
260,84,472,166,Online,10,16.96,Tarjeta,2408.7,408.52,2000.18,2024,6,12,20
261,35,233,34,Tienda física,1,6.14,Tarjeta,240.24,14.75,225.49,2025,1,6,16
262,51,180,17,Tienda física,12,23.56,Transferencia,233.52,55.02,178.5,2024,1,19,12
263,99,113,165,Tienda física,15,15.37,Paypal,8046.6,1236.76,6809.84,2023,2,24,18
264,84,318,153,Online,15,5.83,Paypal,454.35,26.49,427.86,2025,1,14,10
265,68,497,122,Distribuidor,10,0.42,Efectivo,1925.7,8.09,1917.61,2024,4,29,4
266,89,442,76,Distribuidor,17,24.02,Tarjeta,9558.25,2295.89,7262.36,2023,2,10,3
267,76,52,87,Online,13,21.69,Paypal,6572.02,1425.47,5146.55,2023,12,17,22
268,8,268,117,Tienda física,12,24.86,Paypal,7737.48,1923.54,5813.94,2023,1,6,2
269,26,295,106,Tienda física,18,14.99,Transferencia,4080.24,611.63,3468.61,2025,5,26,11
270,76,386,86,Tienda física,12,20.69,Transferencia,6748.68,1396.3,5352.38,2025,8,28,18
271,81,387,27,Distribuidor,2,1.23,Transferencia,1485.56,18.27,1467.29,2025,3,30,6
272,88,113,57,Online,4,2.63,Paypal,1414.44,37.2,1377.24,2025,11,13,13
273,14,101,31,Online,10,16.42,Paypal,2679.6,439.99,2239.61,2023,11,11,1
274,1,113,134,Distribuidor,7,24.62,Tarjeta,506.66,124.74,381.92,2023,12,30,1
275,58,440,168,Online,10,15.7,Paypal,3696.3,580.32,3115.98,2023,1,21,11
276,54,81,98,Tienda física,16,11.28,Paypal,11661.92,1315.46,10346.46,2023,10,16,21
277,20,187,12,Tienda física,3,9.75,Tarjeta,536.7,52.33,484.37,2025,7,7,23
278,22,113,53,Tienda física,1,6.12,Paypal,198.2,12.13,186.07,2025,8,11,4
279,5,2,199,Tienda física,13,4.78,Efectivo,1420.9,67.92,1352.98,2025,11,23,18
280,19,130,138,Online,5,23.22,Tarjeta,1970.85,457.63,1513.22,2025,10,22,22
281,27,220,173,Tienda física,7,13.1,Efectivo,4523.61,592.59,3931.02,2025,4,15,21
282,4,54,145,Distribuidor,13,11.88,Efectivo,8880.82,1055.04,7825.78,2024,1,15,13
283,57,343,154,Online,13,11.7,Efectivo,3262.35,381.69,2880.66,2025,10,16,0
284,68,485,190,Distribuidor,8,17.67,Tarjeta,2649.12,468.1,2181.02,2024,8,18,5
285,56,224,122,Tienda física,8,8.08,Paypal,1540.56,124.48,1416.08,2025,4,29,5
286,22,225,46,Tienda física,7,5.87,Efectivo,550.97,32.34,518.63,2024,3,29,9
287,94,385,64,Distribuidor,6,6.14,Paypal,4252.98,261.13,3991.85,2024,9,1,20
288,100,403,130,Online,2,7.48,Paypal,109.64,8.2,101.44,2023,6,16,11
